row_id,arrest_id_univ,person_id,age_at_arrest,sex,race,arrest_date_univ,current_charge_felony,num_fel_arrests_last_year,y,arrest_id_event,charge_degree,offense_category,arrest_date_event,is_felony
333,5132759,861665,34.63835616438356,M,Black,2017-09-23,0,0,0,5132759,misdemeanor,property,2017-09-23,False
119,7563566,49472,32.298630136986304,M,Black,2016-01-14,1,4,1,9895151,misdemeanor,other,2013-12-16,False
334,7023735,46047,31.136986301369863,M,White,2016-05-23,0,1,1,9770769,felony,other,2014-01-26,True
355,7382549,1061804,28.82191780821918,M,White,2016-03-07,0,0,0,8887488,misdemeanor,drug,2014-11-15,False
630,2922536,71257,33.32054794520548,M,Black,2018-10-02,0,0,0,5350393,misdemeanor,property,2017-08-15,False
208,6068520,1162141,24.991780821917807,M,Black,2017-02-27,0,0,0,5670929,misdemeanor,other,2017-06-07,False
553,7563283,84199,22.12054794520548,M,Black,2016-01-14,0,0,0,4990355,felony,property,2017-10-18,True
917,6203506,64186,35.85753424657534,M,Black,2017-01-24,0,0,0,3733495,misdemeanor,drug,2018-05-21,False
206,3212729,40226,31.235616438356164,M,Black,2018-08-07,0,0,0,2288061,misdemeanor,drug,2019-02-04,False
167,4163202,479529,21.731506849315068,M,Black,2018-03-18,0,0,0,4163202,misdemeanor,violent,2018-03-18,False
563,6778366,41991,24.93972602739726,M,White,2016-08-05,1,0,1,6778366,felony,property,2016-08-05,True
287,7307171,1309468,35.24931506849315,F,White,2016-03-26,0,0,0,6864762,misdemeanor,drug,2016-07-08,False
203,5319741,24391,32.3013698630137,M,Black,2017-08-21,0,0,0,3638787,misdemeanor,property,2018-06-07,False
30,5053353,951591,26.58356164383561,M,Black,2017-10-06,0,0,0,5053353,misdemeanor,violent,2017-10-06,False
466,6939057,112145,22.775342465753425,M,mixed,2016-06-17,0,0,0,11108325,misdemeanor,property,2012-10-18,False
3,3573863,126282,36.465753424657535,M,Black,2018-06-20,0,1,0,7341352,misdemeanor,other,2020-10-22,False
421,4609251,4741,33.49589041095891,M,White,2017-12-21,0,1,1,5005948,misdemeanor,property,2017-10-16,False
946,4641585,379371,25.254794520547943,M,,2017-12-14,0,1,0,4641585,misdemeanor,property,2017-12-14,False
761,5959056,3118094,18.19178082191781,M,Black,2017-03-29,0,0,0,5959056,misdemeanor,other,2017-03-29,False
110,6485726,533988,27.197260273972603,M,White,2016-10-30,0,0,0,21440865,misdemeanor,drug,2012-02-15,False
965,3578573,47154,30.68493150684932,M,Black,2018-06-19,0,0,1,3578573,misdemeanor,drug,2018-06-19,False
67,5067540,1009066,20.96712328767123,M,Black,2017-10-04,0,2,0,270908,misdemeanor,violent,2020-02-06,False
882,5739857,1499779,58.48219178082192,F,Black,2017-05-23,0,0,0,5415512,misdemeanor,other,2017-08-02,False
22,7465428,1004917,30.432876712328767,F,Black,2016-02-14,0,0,0,7465428,misdemeanor,property,2016-02-14,False
25,6028961,91718,29.572602739726022,M,Black,2017-03-09,0,0,0,6139374,misdemeanor,property,2017-02-09,False
753,4771776,17881,31.526027397260275,M,Black,2017-11-21,0,1,1,5849348,misdemeanor,drug,2017-04-24,False
38,6457031,2931988,54.512328767123286,M,White,2016-11-08,0,0,0,6457031,misdemeanor,other,2016-11-08,False
885,6163577,72764,22.72054794520548,F,Black,2017-02-03,0,3,1,5537995,misdemeanor,property,2017-07-07,False
33,6957590,1297492,22.775342465753425,M,White,2016-06-13,0,0,0,6957590,misdemeanor,other,2016-06-13,False
335,4079940,15930,26.504109589041096,M,Black,2018-03-31,0,0,0,5787610,misdemeanor,drug,2017-05-10,False
20,7158353,11936,60.92602739726028,M,Black,2016-05-05,0,0,1,4670826,misdemeanor,drug,2017-12-08,False
390,7422871,1129862,30.457534246575342,M,White,2016-02-23,0,1,1,9426566,misdemeanor,property,2014-05-25,False
241,5413918,845123,46.97260273972603,M,Black,2017-08-03,0,0,1,5118933,misdemeanor,other,2017-09-26,False
